name,description,url,position,street,city,county,state,country,postal_code,phone,email
Jiná káva,Dobra káva a koláče,http://www.jinakava.cz,"49.9677782,14.0708363",U kasáren 192,Beroun,,,,,,
Pivovar Hostivar,"Pry vari dobre pivo,  i restaurace ma byt fajn",http://www.pivovar-hostivar.cz/,"50.0463438,14.549455",Lochotínská 656,Praha,,,,,,
Recka restaurace U Jorgose,"Doporuceno jako dobra recka restaurace,  byl jsem parkrat na obede a vcelku v poho, mila obsluha.",http://www.ujorgose.cz,"50.0398795,14.5053776",Miroveho hnuti 2137/7,Praha 4,,,,,,
Restaurace Šeberák,"Doporucil bracha
Bernard a dobre varej",http://www.seberak.cz,"50.0102764,14.493928",Šeberák,Praha 4,,,,,,
U Šimečků,Oblíbena brachova,,"49.9807848,14.5056224",Vestecká 1,Vestec,,,,,,
Vzorkovna,Unikátní intoušké doupě v centru Prahy,,"50.0832963,14.4179946",Bartolomějská,Praha 1,,,,,,
