name,address_street,address_city,address_country,location,url,description
Restaurace Pražan,areál Výstaviště 67,Praha 7,Česká republika,"50.105827, 14.430585",http://www.restaurantprazan.cz/,Čepuje se Únětická 10° a 12°
Restaurace Továrna,Wilsonova,Slaný,Česká republika,"50.228649, 14.078100",http://www.tovarnaslany.cz/,Čepuje se Únětická 10° a 12° a Baronovo pšeničné.
Restaurace v Únětickém pivovaru,,,Česká republika,"50.149223, 14.354255",,
Rock and Beer,Ve smečkách 21,Praha 1,Česká republika,"50.079143, 14.427151",,
Sokolovna,,Únětice,Česká republika,"50.151344, 14.352844",,
Špejchar,Kladenská,Velké Přílepy,Česká republika,"50.159698, 14.306141",http://www.spejchar.wz.cz/cz/,Čepuje se Únětická 12°
Starosuchdolská,Ke Kozím hřbetům 755/8,Praha 6 Suchdol,Česká republika,"50.140862, 14.372818",http://www.starosuchdolska.cz/,Čepuje se Únětická 12°.
Steakhouse Jáma,Ostrovní 26,Praha 1,Česká republika,"50.080667, 14.417846",http://www.jamapub.cz,
Studio Cafe,Ke Kladivum 10,Praha 6,Česká republika,"50.128953, 14.384182",,
Su-teren,Jirečkova,Praha 7,Česká republika,"50.099300, 14.423429",,Čepuje se zde Únětická 12°.
Tlustá Koala,Senovážná 8,Praha 1,Česká republika,"50.086445, 14.429426",http://www.tlustakoala.cz/,"čepuje se Únětická 12° ""Koala""."
U Adély,Jugoslávských partyzánů,Praha 6,Česká republika,"50.104820, 14.394627",,
U Drahušky,Ke goniu 123,Přední Kopanina,Česká republika,"50.115986, 14.296359",http://www.fcpk.cz/restaurace.php,
U Habásků,Štítného 16,Praha 3,Česká republika,"50.085254, 14.450022",http://www.uhabasku.cz/,
U hasičů,Kozinec 12,Holubice,Česká republika,"50.197592, 14.295112",,
U Kalendů,Rašínovo nábřeží 56,Praha 2,Česká republika,"50.074356, 14.414071",,
U kapličky,Kovárenská,Lysolaje,Česká republika,"50.125298, 14.373100",,Čepuje se Únětická 10° filtrovaná.
U Lasíků,Tiché údolí,Únětice,Česká republika,"50.149586, 14.359638",,
U nádraží,,Libčice,Česká republika,"50.199570, 14.363760",,
U pavouka,Údolní,Praha 4,Česká republika,"50.025246, 14.426342",,
U pětníka,Lotyšská 8,Praha 6,Česká republika,"50.104389, 14.396317",http://www.dejrest.cz/,Čepuje se Únětická 12°
U prince Miroslava,U vodojemu 4,Praha 5,Česká republika,"50.061695, 14.398241",http://uprincemiroslava.eu/,
U sudů,Černokostelecká 18,Praha 10,Česká republika,"50.076628, 14.492145",,
U Valentů,Nad pramenem 42,Praha 6,Česká republika,"50.126194, 14.365969",,
U velblouda,Haškova,Praha 7,Česká republika,"50.099957, 14.428235",,
U Wočka,Nebušická,Horoměřice,Česká republika,"50.131649, 14.338880",http://www.uwocka.cz/,
U Žabáka,Sichrovského 19,Nebušice,Česká republika,"50.111561, 14.322406",,
Ve mlejně,K velazu,Černý vůl,Česká republika,"50.149105, 14.339604",,Čepuje se Únětická 10°.
Večerní škola,Nad Kolčavkou 8,Praha 9,Česká republika,"50.108513, 14.482362",http://www.vecerniskola.com/,čepuje se Únětická 10° a 12°
Vinny sklep Gymnasium,Úholičky,Velké Přílepy,Česká republika,"50.161986, 14.334516",,
Vozovna Žižkoff,Biskupcova 42,Praha 3,Česká republika,"50.090164, 14.473393",http://www.facebook.com/pages/Vozovna-%C5%BDi%C5%BEkoff/351130784983055?ref=stream,
Vzorkovna,Bartolomějská 13,Praha 1,Česká republika,"50.083363, 14.418697",,
Washingtons,Washingtonova 9,Praha 1,Česká republika,"50.080653, 14.430952",,
Zlý časy,Čestmírova 5,Praha 4,Česká republika,"50.064062, 14.443436",http://www.zlycasy.eu/,
Zubatý Pes,Petrohradská 216/3,Praha 10,Česká republika,"50.063904, 14.452697",http://www.zubatypes.cz/cs/uvodni-strana,
